ID,Player,Position,Age,Height ,Weight,Team,Against,Injury,Concussion,Home_Away,Games_Missed,Week of Injury,Injured
2289,A.J. Bouye,DB,24,72,191,Hou,Null,None,0,Null,0,0,0
1449,A.J. Cann,OL,24,75,313,Jax,Null,None,0,Null,0,0,0
1779,A.J. Derby,TE,24,76,255,NE,Null,None,0,Null,0,0,0
1184,A.J. Francis,DL,25,77,330,Mia,Null,None,0,Null,0,0,0
530,A.J. Green,WR,27,76,207,Cin,Null,None,0,Null,0,0,0
534,A.J. Hawk,LB,31,73,235,Cin,Null,None,0,Null,0,0,0
375,A.J. Jefferson,DB,27,73,190,Min,Chi,Concussion,1,0,0,14,1
82,A.J. Jenkins,WR,26,72,192,KC,Ten,Concussion,1,1,2,9,1
1731,A.J. Klein,LB,24,73,240,Car,Null,None,0,Null,0,0,0
550,A.J. McCarron,QB,25,75,220,Cin,Null,None,0,Null,0,0,0
628,A.J. Tarpley,LB,23,74,241,Buf,Null,None,0,Null,0,0,0
894,A.Q. Shipley,OL,29,73,307,Ari,Null,None,0,Null,0,0,0
645,Aaron Brewer,TE,25,77,230,Den,Null,None,0,Null,0,0,0
1451,Aaron Colvin,DB,24,72,186,Jax,Null,None,0,Null,0,0,0
1783,Aaron Dobson,WR,24,75,200,NE,Null,None,0,Null,0,0,0
1912,Aaron Donald,DL,24,73,285,LAR,Null,None,0,Null,0,0,0
418,Aaron Lynch,LB,22,77,270,SF,Null,None,0,Null,0,0,0
1015,Aaron Murray,QB,25,73,210,KC,Null,None,0,Null,0,0,0
1685,Aaron Ripkowski,RB,23,73,246,GB,Null,None,0,Null,0,0,0
1686,Aaron Rodgers,QB,32,74,225,GB,Null,None,0,Null,0,0,0
359,Aaron Williams,DB,25,72,199,Buf,Chi,Concussion,1,0,0,13,1
1470,Abry Jones,DL,24,76,312,Jax,Null,None,0,Null,0,0,0
345,Ace Sanders,WR,24,68,179,Jac,Den,Concussion,1,1,1,8,1
1390,Adam Gettis,OL,27,74,305,NYG,Null,None,0,Null,0,0,0
2042,Adam Hayward,LB,31,73,240,Wsh,Null,None,0,Null,0,0,0
544,Adam Jones,DB,32,70,186,Cin,Null,None,0,Null,0,0,0
2467,Adam Thielen,WR,25,74,195,Min,Null,None,0,Null,0,0,0
1098,Adam Vinatieri,K,42,72,209,Ind,Null,None,0,Null,0,0,0
1723,Adarius Glanton,LB,25,73,230,Car,Null,None,0,Null,0,0,0
449,Adrian Amos,DB,22,72,218,Chi,Null,None,0,Null,0,0,0
1313,Adrian Clayborn,DL,27,75,280,Atl,Null,None,0,Null,0,0,0
1661,Adrian Hubbard,LB,23,78,257,GB,Null,None,0,Null,0,0,0
2455,Adrian Peterson,RB,30,73,217,Min,Null,None,0,Null,0,0,0
950,Adrian Phillips,DB,23,71,210,LAC,Null,None,0,Null,0,0,0
